applicant_id,age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,num_credit_lines,debt_to_income,previous_defaults,home_ownership,loan_purpose,default
134,47,,11.5,740,78500.0,48,5,0.526,0,Rent,Education,0
135,60,29900.0,20.1,654,22700.0,36,5,0.332,0,Mortgage,Education,0
136,34,79500.0,9.2,762,17400.0,48,4,0.351,0,Own,Medical,0
137,49,46900.0,14.4,766,29400.0,36,2,0.07,0,Rent,Debt consolidation,0
138,19,58100.0,0.0,780,44800.0,36,6,0.387,0,Own,Medical,1
139,36,61700.0,10.5,707,51900.0,24,4,0.076,0,Rent,Education,0
140,41,80600.0,7.8,850,44400.0,24,6,0.133,0,Rent,Debt consolidation,0
141,70,51100.0,22.9,621,10200.0,48,6,0.302,0,Own,Car,0
142,29,99200.0,1.5,840,52000.0,36,2,0.355,0,Rent,Car,0
143,32,57200.0,2.0,731,35200.0,24,3,0.428,0,Mortgage,Home improvement,1
144,39,67000.0,14.3,777,18900.0,60,5,0.181,0,Mortgage,Education,0
145,70,32300.0,,644,28300.0,60,5,0.086,0,Rent,Debt consolidation,0
146,63,144300.0,21.4,738,35300.0,24,2,0.189,0,Mortgage,Education,0
147,19,62000.0,0.8,784,51100.0,24,3,0.272,0,Rent,Debt consolidation,0
148,30,70000.0,3.5,583,28800.0,36,4,0.103,0,Mortgage,Home improvement,1
149,61,21900.0,17.1,657,1100.0,24,4,0.408,0,Mortgage,Debt consolidation,0
150,21,32500.0,0.0,499,16600.0,60,5,0.125,0,Mortgage,Home improvement,1
151,63,91000.0,18.0,656,53100.0,36,4,0.316,0,Rent,Debt consolidation,0
152,32,56600.0,2.4,605,44700.0,12,4,0.528,0,Mortgage,Education,1
153,66,18800.0,18.0,653,9600.0,36,3,0.329,0,Mortgage,Debt consolidation,0
154,33,82400.0,8.8,850,10700.0,24,1,0.381,0,Own,Debt consolidation,0
155,41,37400.0,10.0,807,31300.0,36,8,0.115,0,Own,Home improvement,0
156,53,99300.0,9.6,555,52700.0,24,4,0.239,0,Mortgage,Business,1
157,24,46900.0,5.0,714,13200.0,60,4,0.204,1,Rent,Home improvement,0
158,47,54300.0,11.6,734,44200.0,48,4,0.572,0,Rent,Medical,1
159,44,88400.0,8.8,643,13500.0,60,3,0.312,0,Mortgage,Car,0
160,59,31300.0,18.6,684,4200.0,24,3,0.202,2,Rent,Car,0
161,70,29800.0,20.3,692,15000.0,36,2,0.069,0,Own,Debt consolidation,0
162,53,44400.0,10.5,562,25800.0,60,2,0.411,0,Mortgage,Car,0
163,39,74100.0,13.9,587,35900.0,36,5,0.19,0,Rent,Car,0
164,39,25200.0,8.3,684,21200.0,36,4,0.309,0,Mortgage,Debt consolidation,0
165,40,21300.0,8.6,678,5800.0,60,5,0.529,1,Own,Car,1
166,61,74000.0,16.0,613,66000.0,48,4,0.21,0,Rent,Car,0
167,35,36300.0,10.3,606,2400.0,60,5,0.289,0,Rent,Business,0
168,26,40300.0,1.6,663,6100.0,36,4,0.372,1,Mortgage,Business,0
169,35,19400.0,2.2,741,4000.0,36,3,0.065,0,Rent,Car,0
170,19,,0.0,664,4100.0,36,2,0.072,0,Rent,Debt consolidation,0
171,23,48800.0,5.0,800,20600.0,36,5,0.126,0,Rent,Medical,0
172,22,78100.0,,614,61400.0,24,1,0.269,0,Mortgage,Car,0
173,58,33300.0,15.2,685,24900.0,60,2,0.173,0,Own,Education,0
174,56,112300.0,19.3,642,76700.0,36,2,0.058,0,Mortgage,Debt consolidation,0
175,54,34800.0,16.6,717,2000.0,36,4,0.339,0,Rent,Home improvement,0
176,42,34800.0,8.8,607,27300.0,60,5,0.263,0,Rent,Car,1
177,56,105700.0,14.7,824,40900.0,48,6,0.352,1,Own,Business,0
178,26,54500.0,4.2,535,36600.0,24,1,0.321,0,Mortgage,Education,1
179,65,37200.0,16.3,807,24800.0,36,7,0.096,0,Rent,Debt consolidation,0
180,44,45400.0,10.4,677,9100.0,36,2,0.146,0,Mortgage,Business,0
181,67,96400.0,20.5,714,47100.0,24,5,0.247,1,Mortgage,Debt consolidation,0
182,26,102000.0,0.0,777,85400.0,12,1,0.277,0,Mortgage,Car,0
183,44,32600.0,9.8,739,8900.0,36,2,0.264,0,Rent,Education,0
184,54,48000.0,13.5,612,31600.0,48,6,0.084,0,Mortgage,Business,0
185,44,51300.0,13.5,718,44300.0,60,4,0.286,0,Rent,Car,0
186,41,29900.0,,819,10700.0,36,2,0.111,0,Own,Medical,0
187,26,47700.0,2.1,599,18100.0,36,3,0.318,0,Mortgage,Education,0
188,38,49200.0,6.6,839,21400.0,24,2,0.228,0,Own,Education,1
189,30,86700.0,7.7,701,64000.0,60,1,0.1,0,Rent,Car,0
190,33,89700.0,5.9,635,38000.0,60,7,0.108,0,Rent,Car,0
191,54,,19.8,599,19300.0,60,10,0.343,0,Mortgage,Education,0
192,51,44000.0,15.2,652,10500.0,36,4,0.396,1,Rent,Home improvement,0
193,50,68300.0,11.6,514,60800.0,24,4,0.218,0,Rent,Medical,0
194,37,36600.0,,637,29600.0,36,5,0.269,1,Mortgage,Debt consolidation,1
195,68,65800.0,,649,36900.0,36,1,0.142,0,Rent,Home improvement,0
196,22,46900.0,4.0,584,40600.0,36,1,0.29,0,Rent,Debt consolidation,1
197,36,30200.0,3.2,730,19100.0,12,4,0.652,0,Mortgage,Medical,0
198,24,30400.0,0.0,652,26300.0,12,6,0.309,0,Rent,Debt consolidation,0
199,35,101100.0,8.2,619,18900.0,36,4,0.419,0,Own,Education,0
200,68,45300.0,23.7,644,10900.0,60,4,0.086,0,Mortgage,Car,0
201,37,111300.0,1.0,698,89300.0,48,7,0.247,0,Mortgage,Home improvement,0
202,66,37900.0,23.3,676,15400.0,48,4,0.103,0,Rent,Medical,0
203,44,56700.0,10.0,614,20700.0,24,4,0.063,0,Rent,Debt consolidation,0
204,55,162200.0,9.1,680,112100.0,48,4,0.143,0,Own,Debt consolidation,1
205,42,28900.0,0.6,666,16900.0,36,6,0.453,0,Mortgage,Debt consolidation,1
206,32,19000.0,1.0,579,6500.0,12,4,0.188,0,Rent,Medical,0
207,58,93300.0,15.9,647,36200.0,36,1,0.158,0,Rent,Business,0
208,69,32400.0,20.2,716,12900.0,24,2,0.207,0,Rent,Medical,0
209,31,48500.0,7.1,716,7600.0,60,1,0.241,0,Mortgage,Debt consolidation,0
210,59,36600.0,14.8,652,9000.0,60,3,0.177,0,Mortgage,Debt consolidation,0
211,31,56100.0,,724,28400.0,24,3,0.237,0,Mortgage,Education,0
212,55,30500.0,13.6,592,21800.0,36,4,0.477,0,Own,Debt consolidation,1
213,59,44800.0,16.5,594,18200.0,36,5,0.346,0,Mortgage,Education,1
214,41,61400.0,,650,23100.0,24,2,0.293,0,Rent,Car,0
215,57,29600.0,13.2,790,17800.0,36,2,0.685,0,Rent,Business,0
216,32,34500.0,8.3,683,6300.0,48,2,0.223,1,Mortgage,Education,0
217,22,41200.0,0.0,648,15400.0,48,1,0.314,0,Rent,Debt consolidation,1
218,23,24000.0,0.0,794,5400.0,24,6,0.408,0,Own,Education,0
219,41,39700.0,7.6,647,24000.0,36,1,0.469,0,Rent,Education,1
220,65,52000.0,22.0,849,7600.0,12,2,0.374,0,Rent,Education,0
221,24,40100.0,2.0,629,17300.0,12,7,0.272,0,Rent,Education,0
222,42,42800.0,7.5,589,23800.0,12,6,0.318,0,Mortgage,Car,1
223,55,48500.0,17.6,657,36800.0,12,3,0.284,0,Mortgage,Debt consolidation,0
224,28,35300.0,10.0,650,23500.0,36,4,0.09,0,Rent,Home improvement,1
225,56,69300.0,15.8,605,59000.0,36,4,0.21,0,Rent,Debt consolidation,0
226,34,100500.0,10.1,850,63100.0,48,2,0.477,0,Rent,Home improvement,0
227,60,38900.0,19.9,695,13500.0,36,3,0.443,0,Rent,Debt consolidation,0
228,48,62500.0,10.2,707,15400.0,24,5,0.288,0,Rent,Home improvement,0
229,46,43500.0,11.3,633,4300.0,60,7,0.452,0,Rent,Home improvement,0
230,27,58800.0,0.0,624,16800.0,60,5,0.224,0,Mortgage,Business,1
231,42,107200.0,,752,17800.0,24,4,0.147,0,Mortgage,Car,0
232,63,63200.0,16.1,536,23000.0,36,5,0.201,0,Mortgage,Education,0
233,19,20200.0,0.0,579,13100.0,24,4,0.416,0,Mortgage,Medical,0
234,58,61500.0,13.8,650,39300.0,60,6,0.219,0,Rent,Home improvement,0
235,44,90800.0,9.5,778,29100.0,36,5,0.357,0,Own,Debt consolidation,0
236,56,43900.0,16.8,640,21200.0,12,6,0.206,1,Rent,Debt consolidation,1
237,53,80600.0,13.6,703,18900.0,48,1,0.047,0,Own,Home improvement,0
238,40,34700.0,3.2,672,16600.0,48,5,0.055,0,Own,Medical,0
239,34,23300.0,4.2,774,11300.0,24,3,0.021,0,Rent,Business,0
240,51,52600.0,8.6,543,16100.0,36,3,0.344,0,Rent,Debt consolidation,0
241,25,20400.0,3.5,729,5500.0,36,6,0.123,0,Rent,Business,0
242,48,43500.0,13.5,654,38400.0,24,3,0.12,0,Mortgage,Debt consolidation,1
243,23,93300.0,2.8,744,47300.0,24,4,0.571,0,Rent,Debt consolidation,0
244,52,18900.0,11.2,604,10000.0,60,4,0.222,0,Own,Debt consolidation,1
245,51,25900.0,13.9,672,1500.0,48,4,0.15,0,Own,Business,0
246,22,29300.0,0.2,662,6000.0,48,3,0.134,0,Rent,Debt consolidation,0
247,58,47500.0,12.6,590,16800.0,48,4,0.41,2,Rent,Car,1
248,40,40800.0,11.0,568,35500.0,36,5,0.152,0,Own,Debt consolidation,1
249,59,98700.0,18.9,624,19600.0,36,0,0.282,0,Rent,Car,0
250,20,79000.0,2.0,680,24300.0,48,4,0.268,0,Mortgage,Debt consolidation,0
251,27,62800.0,1.8,609,56000.0,24,6,0.392,0,Mortgage,Car,1
252,44,52700.0,,644,24200.0,24,5,0.239,0,Mortgage,Debt consolidation,0
253,27,59700.0,2.1,519,19100.0,24,5,0.225,0,Mortgage,Debt consolidation,1
254,35,31900.0,8.8,640,18800.0,48,5,0.184,0,Rent,Debt consolidation,0
255,53,75300.0,12.5,752,35500.0,36,7,0.091,0,Mortgage,Home improvement,0
256,25,28100.0,2.1,726,24300.0,36,1,0.284,0,Rent,Business,1
257,53,74400.0,6.7,663,9000.0,36,4,0.167,0,Mortgage,Car,0
258,23,88700.0,1.1,689,64000.0,60,2,0.582,1,Rent,Home improvement,1
259,27,54500.0,3.9,604,15700.0,24,7,0.297,0,Rent,Debt consolidation,0
260,49,44900.0,11.2,800,33000.0,36,5,0.518,0,Rent,Debt consolidation,0
261,60,,22.1,835,46200.0,48,2,0.226,0,Mortgage,Car,0
262,27,11700.0,0.1,683,9000.0,48,5,0.249,0,Mortgage,Debt consolidation,0
263,33,57000.0,4.3,850,44800.0,36,2,0.18,0,Rent,Home improvement,0
264,67,46300.0,16.9,616,30600.0,24,4,0.579,1,Rent,Debt consolidation,0
265,70,47800.0,19.1,570,8200.0,60,3,0.267,1,Mortgage,Home improvement,0
266,48,69800.0,15.1,613,6600.0,36,8,0.119,1,Rent,Debt consolidation,0
267,41,47200.0,13.6,652,16000.0,60,6,0.31,0,Mortgage,Medical,0
268,36,27700.0,5.1,850,13000.0,48,4,0.269,0,Own,Debt consolidation,0
269,50,45700.0,10.6,648,14000.0,60,4,0.103,0,Rent,Car,0
270,49,50700.0,8.9,601,34500.0,12,4,0.43,0,Mortgage,Business,0
271,33,51900.0,9.9,598,34500.0,36,8,0.175,0,Rent,Debt consolidation,0
272,19,53200.0,1.0,761,46600.0,24,2,0.344,0,Mortgage,Debt consolidation,0
273,26,82400.0,2.9,750,32200.0,24,3,0.271,0,Own,Debt consolidation,0
274,68,28500.0,15.8,631,20500.0,24,3,0.14,0,Own,Education,0
275,40,53500.0,4.9,520,36400.0,36,2,0.316,0,Rent,Medical,0
276,43,93400.0,10.5,580,83200.0,36,3,0.494,1,Mortgage,Home improvement,1
277,42,20600.0,11.2,808,14600.0,36,5,0.462,0,Mortgage,Home improvement,0
278,59,53600.0,10.2,725,15600.0,36,3,0.354,0,Mortgage,Car,0
279,21,36600.0,0.2,675,2300.0,24,4,0.137,0,Mortgage,Home improvement,0
280,22,40700.0,4.0,820,35500.0,36,7,0.362,0,Mortgage,Debt consolidation,0
281,32,31200.0,4.9,827,20600.0,48,4,0.502,0,Rent,Debt consolidation,0
282,43,45000.0,14.5,667,33300.0,12,3,0.176,0,Mortgage,Car,0
283,53,123100.0,15.9,669,89200.0,48,6,0.183,0,Rent,Education,0
284,44,26100.0,7.1,623,17600.0,36,2,0.416,0,Rent,Medical,0
285,41,27300.0,8.3,647,18800.0,36,3,0.223,0,Rent,Education,0
286,67,25600.0,19.2,551,21500.0,48,4,0.206,1,Rent,Debt consolidation,1
287,26,116300.0,0.3,551,96200.0,36,1,0.337,0,Rent,Debt consolidation,1
288,48,38900.0,9.1,532,14500.0,36,1,0.317,0,Rent,Debt consolidation,1
289,46,48400.0,15.7,757,3700.0,60,2,0.122,0,Mortgage,Debt consolidation,0
290,43,40100.0,7.1,545,3300.0,12,3,0.258,0,Own,Business,1
291,60,30600.0,20.0,826,13100.0,36,3,0.203,0,Rent,Medical,0
292,32,43600.0,4.3,612,33100.0,60,6,0.177,0,Mortgage,Business,0
293,68,167600.0,19.9,809,129100.0,60,6,0.227,0,Mortgage,Car,0
294,35,98300.0,8.5,641,38700.0,36,6,0.315,1,Mortgage,Car,0
295,46,32000.0,9.4,545,9800.0,24,1,0.163,0,Rent,Car,1
296,45,67800.0,12.5,773,32600.0,36,3,0.146,0,Own,Medical,0
297,63,32300.0,11.9,782,24500.0,60,4,0.049,0,Mortgage,Education,0
298,41,20200.0,10.5,598,11900.0,48,3,0.495,0,Rent,Home improvement,0
299,33,81600.0,0.0,643,13800.0,24,5,0.503,0,Rent,Debt consolidation,1
300,19,87600.0,0.0,598,31400.0,24,7,0.301,2,Mortgage,Car,0
301,37,82700.0,10.2,660,43200.0,48,3,0.664,0,Mortgage,Debt consolidation,1
302,61,38800.0,19.1,679,19700.0,36,5,0.284,0,Mortgage,Debt consolidation,0
303,18,45100.0,0.0,642,34100.0,60,7,0.033,0,Rent,Debt consolidation,0
304,65,71300.0,15.3,524,60100.0,36,5,0.313,0,Rent,Debt consolidation,0
305,46,59600.0,9.1,624,8100.0,36,10,0.234,0,Rent,Car,0
306,25,40300.0,3.4,726,9700.0,24,6,0.156,0,Mortgage,Car,0
307,34,21800.0,0.3,653,8400.0,36,2,0.415,0,Mortgage,Debt consolidation,1
308,47,51900.0,11.6,644,15700.0,36,7,0.131,0,Mortgage,Medical,0
309,34,84100.0,7.3,596,33400.0,12,6,0.288,0,Mortgage,Education,0
310,23,26900.0,1.2,621,2300.0,36,5,0.09,2,Mortgage,Debt consolidation,1
311,53,67500.0,,783,7200.0,24,7,0.213,0,Rent,Debt consolidation,0
312,53,57900.0,,579,44200.0,60,3,0.445,0,Rent,Home improvement,1
313,24,71300.0,0.8,728,9800.0,24,4,0.398,0,Mortgage,Debt consolidation,0
314,32,75800.0,0.0,674,56900.0,36,4,0.229,0,Rent,Business,0
315,30,34600.0,5.2,690,10700.0,48,5,0.091,1,Rent,Debt consolidation,0
316,52,21800.0,10.7,611,6800.0,24,6,0.586,0,Rent,Car,0
317,56,37500.0,13.5,642,5100.0,36,5,0.146,0,Mortgage,Medical,0
318,56,76500.0,16.6,670,4700.0,60,4,0.219,1,Rent,Home improvement,0
319,67,37400.0,23.9,628,13200.0,36,7,0.199,0,Rent,Education,0
320,58,34600.0,15.9,697,26300.0,36,3,0.166,0,Rent,Home improvement,0
321,34,,8.1,707,16400.0,60,5,0.219,0,Mortgage,Car,0
322,23,117800.0,0.0,844,12100.0,60,2,0.207,0,Mortgage,Education,0
323,50,74100.0,13.5,692,5700.0,60,5,0.444,0,Mortgage,Car,0
324,66,72000.0,19.0,517,13300.0,36,5,0.278,0,Own,Medical,0
325,69,79500.0,24.1,763,55800.0,36,3,0.265,0,Rent,Medical,0
326,30,65400.0,3.2,654,14700.0,36,2,0.305,0,Rent,Business,1
327,30,43400.0,4.1,831,10700.0,36,5,0.322,0,Mortgage,Business,0
328,19,45200.0,1.0,788,36400.0,36,7,0.43,0,Mortgage,Home improvement,0
329,25,39600.0,2.5,630,31400.0,60,3,0.06,0,Rent,Debt consolidation,1
330,47,183000.0,8.3,728,113400.0,36,2,0.102,0,Mortgage,Education,0
331,46,64700.0,18.9,622,12300.0,60,7,0.017,1,Rent,Medical,0
332,37,38900.0,4.4,670,14500.0,60,4,0.065,0,Own,Debt consolidation,0
333,34,61900.0,6.2,724,15500.0,36,4,0.349,0,Mortgage,Education,0
